# Index: time
# Unit: W/m2

year,exf_a
2009,0.6968826452712114
2010,0.7097154509087791
2020,0.8015952514102145
2030,0.834572608092186
2040,0.8121904356956539
2050,0.8049551858726124
2075,0.6923524320847695
2100,0.5452105114256866
2150,0.5452105114256866
2200,0.5452105114256866
