# Index: time, region
# Units: %/year
# Notes: Population Growth Rate.  Year given as end of period (e.g., first is 2008 - 2009)
year,EU,US,OT,EE,CA,IA,AF,LA
2009,0.3,0.8,0.4,0.2,0.5,1.6,2.5,1.3
2010,0.3,0.8,0.4,0.2,0.5,1.6,2.5,1.3
2020,0.3,0.8,0.4,0.2,0.5,1.6,2.5,1.3
2030,0.3,0.8,0.1,0.1,0.4,1.2,2.1,1.1
2040,0.2,0.6,0.0,0.0,-0.1,0.7,1.3,0.6
2050,-0.1,0.4,-0.2,-0.3,-0.7,0.1,0.7,0.1
2075,-0.2,0.4,-0.3,-0.4,-1.0,-0.5,0.0,-0.3
2100,-0.2,0.3,-0.3,-0.5,-1.5,-1.1,-0.5,-0.7
2150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

