# Index: time, region
# Unit: %

year,EU,US,OT,EE,CA,IA,AF,LA
2009,103,103,103,104,106,106,108,108
2010,107,107,107,107,113,113,115,115
2020,97,97,97,184,234,234,236,236
2030,101,101,101,266,452,452,479,479
2040,105,105,105,349,669,669,722,722
2050,109,109,109,361,910,910,878,878
2075,117,117,117,368,1108,1108,1007,1007
2100,126,126,126,334,1029,1029,952,952
2150,126,126,126,334,1029,1029,952,952
2200,126,126,126,334,1029,1029,952,952
