# Index: region
# Unit: Mtonne/year

Region,e_glin_0
EU,73.61870649119008
US,191.64507687493625
OT,69.0236682703572
EE,24.67512898676709
CA,79.08004829740617
IA,55.240114681323774
AF,33.74053880298635
LA,30.187989142393846
