# Index: region
# Unit: Mtonne/year

Region,e_ch4_0
EU,23.70612661099425
US,28.8226067633904
OT,22.042294421033706
EE,38.05688316967646
CA,56.18718449640867
IA,71.06584029465819
AF,65.56125699423576
LA,57.55780724960258
