# Index: region
# Unit:

Region,se_0
EU,4.0550401599476835
US,5.517513660256685
OT,1.7283777730924554
EE,11.923838276285592
CA,32.17514804419628
IA,6.588244599525904
AF,11.174238968296695
LA,7.401119316664044
