# Index: region
# Unit: Mtonne/year

Region,e_co2_0
EU,4400.449364798853
US,6183.256328623212
OT,2438.192558605367
EE,3216.3416065223278
CA,5039.920913372569
IA,8286.06352316845
AF,4655.651034629307
LA,3971.156250074707
