# Index: region
# Unit:

Region,gdp_0
EU,13861060
US,12967818.181818182
OT,7320978.181818182
EE,3098144.5454545445
CA,7830992.727272726
IA,7815882.727272726
AF,4690551.818181818
LA,5619671.818181816
