# Index: region
# Unit:

Region,e_n2o_0
EU,1.4001092229897365
US,1.234923361295104
OT,0.6637897526974926
EE,0.44825474601530857
CA,2.436777727649712
IA,1.021580097078453
AF,1.9518008053137403
LA,1.8892842869604545
