# Index: region
# Unit: million person

Region,pop_0
EU,496.20314100000013
US,314.65878000000004
OT,273.48463699999996
EE,303.51196
CA,1536.4315049999998
IA,2122.7649129999995
AF,1219.1209769999998
LA,580.7715280000001
