# Index: time, region
# Unit: W/m2

year,EU,US,OT,EE,CA,IA,AF,LA
2009,93.57628037097979,93.57628037097979,93.57628037097979,100.83920746455557,104.20794001252173,104.20794001252173,103.75343130354422,103.75343130354422
2010,87.27994236331459,87.27994236331459,87.27994236331459,101.80568849790271,108.54310347627468,108.54310347627468,107.63409282017066,107.63409282017066
2020,50.05941627798973,50.05941627798973,50.05941627798973,74.25237118407738,115.34574618716455,115.34574618716455,112.47246024146536,112.47246024146536
2030,35.832869971060695,35.832869971060695,35.832869971060695,43.134324466187344,66.11427051886177,66.11427051886177,94.49696873514183,94.49696873514183
2040,24.722435910980032,24.722435910980032,24.722435910980032,15.772239240746678,22.64029385649966,22.64029385649966,84.73232055687266,84.73232055687266
2050,15.329598125272303,15.329598125272303,15.329598125272303,8.238492086397526,11.510631786916196,11.510631786916196,49.842143511759375,49.842143511759375
2075,5.97073377944404,5.97073377944404,5.97073377944404,1.75088774235689,2.3210863273773925,2.3210863273773925,12.542135633391371,12.542135633391371
2100,1.8466465542111532,1.8466465542111532,1.8466465542111532,0.5903855460842355,0.7483872863704896,0.7483872863704896,2.9437645708734705,2.9437645708734705
2150,1.8466465542111532,1.8466465542111532,1.8466465542111532,0.5903855460842355,0.7483872863704896,0.7483872863704896,2.9437645708734705,2.9437645708734705
2200,1.8466465542111532,1.8466465542111532,1.8466465542111532,0.5903855460842355,0.7483872863704896,0.7483872863704896,2.9437645708734705,2.9437645708734705
