# Index: time
# Unit: W/m2

year,exf_b
2009,0.6969190772187439
2010,0.7098611422851718
2020,0.7383703226662991
2030,0.575794429625799
2040,0.396091899770075
2050,0.2741565602349717
2075,0.15568695737301705
2100,0.12145862958943525
2150,0.12145862958943525
2200,0.12145862958943525
