# Index: time, region
# Unit: %

year,EU,US,OT,EE,CA,IA,AF,LA
2009,99.56434759457701,99.56434759457701,99.56434759457701,101.6473447775381,102.85280928131142,102.85280928131142,102.873401503128,102.87340150312801
2010,100.08966834528091,100.08966834528093,100.08966834528093,104.25221867941212,106.66115456948944,106.66115456948944,106.70230496590106,106.70230496590108
2020,84.31266412622871,76.37965200844044,80.43422654403251,85.63907937872456,129.65260687402204,134.80402619950232,129.75105425521653,114.31855684015622
2030,54.983823915382054,46.82283926683093,50.61215920766776,58.49024493735364,93.21420430440364,102.60578022117961,99.30768228128709,78.20641839876464
2040,26.190883951971465,17.713206069455474,21.277722715568945,31.919602192441108,57.71093076716474,71.45273284441676,69.87735523727027,42.86774832123234
2050,15.315808107051458,10.054471715988234,12.10740800411462,18.93649210745238,33.34911884364088,43.592994705142836,43.88825334229444,24.859626962414904
2075,4.045474205443228,2.556847793584126,2.896198276437885,5.0688346125701,7.797103378709734,12.541820991444927,14.341861369817506,6.2703935868515845
2100,1.288100929201905,0.9463858691230849,0.8962614546704929,1.4680881996107336,1.7551014811845,3.2244086779332664,4.307382132125206,1.7600256764091446
2150,1.288100929201905,0.9463858691230849,0.8962614546704929,1.4680881996107336,1.7551014811845,3.2244086779332664,4.307382132125206,1.7600256764091446
2200,1.288100929201905,0.9463858691230849,0.8962614546704929,1.4680881996107336,1.7551014811845,3.2244086779332664,4.307382132125206,1.7600256764091446
